feedback_id,event_id,user_id,thumbs,reason_tag,free_text,created_at
fb_4931127d27614097,ev_9155ea9c835f48e2,u_00159,1,,,2026-03-04T03:13:56.165491+00:00
fb_54f78574b352486a,ev_efb160854ec14427,u_00633,1,,,2026-02-19T00:47:38.370754+00:00
fb_cecc5aed91b54de6,ev_cf9bc77cf17c4fe0,u_00469,1,,,2026-03-02T16:40:10.194902+00:00
fb_b058526e01d7404d,ev_a9ac65ec6494469f,u_00557,1,,,2026-02-09T13:44:52.749094+00:00
fb_f2fdb6cbe7384f39,ev_c91d53f7b80349fc,u_00179,-1,incomplete,,2026-02-12T02:43:06.918029+00:00
fb_414f10e63d1b4c53,ev_2d39332b559d42d1,u_00198,-1,wrong_answer,,2026-03-04T11:26:08.543432+00:00
fb_6c4a9494b3f34326,ev_7e6b3136bf414020,u_00623,1,,,2026-02-15T20:30:23.317523+00:00
fb_d936c7f0fde94dad,ev_19b7d2e8d6e44323,u_00029,-1,incomplete,,2026-03-18T12:35:16.980667+00:00
fb_b2d6dc0287a24838,ev_becba34ced404d60,u_00009,1,,,2026-03-08T21:36:01.929782+00:00
fb_ecfa4c03d5b744ff,ev_d0254af871d64ca1,u_00055,1,,,2026-02-15T00:31:20.263968+00:00
fb_0553d0f3c3fe4a59,ev_26f9f8febe03423b,u_00182,1,,,2026-02-20T02:06:40.487038+00:00
fb_3aa8f3ea3b3847cb,ev_6b0d366248b344a1,u_00679,1,,,2026-03-23T07:46:20.361074+00:00
fb_794746cfc9764cb8,ev_90382828eead4448,u_00364,1,,,2026-03-17T11:19:35.129161+00:00
fb_76eb8273ce5f40bb,ev_2be29ee753d44349,u_00325,1,,,2026-03-26T09:34:35.496908+00:00
fb_d1e2ec83e5bc4607,ev_5ce6cbc2e0004c01,u_00314,1,,,2026-02-14T17:17:31.003678+00:00
fb_6d484bf8127c465c,ev_b13680f6743344de,u_00424,-1,hallucination,,2026-04-16T23:30:03.192991+00:00
fb_c789d1e13a934cae,ev_a48be0c01d134bd4,u_00036,1,,,2026-03-09T10:19:42.011699+00:00
fb_5e69743441b24016,ev_34e265549cbd4c2c,u_00643,1,,,2026-03-07T01:54:32.870416+00:00
fb_8257c0c0505244d1,ev_1f42574b4cbd4386,u_00095,-1,wrong_answer,,2026-04-11T00:04:34.759264+00:00
fb_1cbba4fe691244b1,ev_a792c194eb6f45de,u_00061,1,,,2026-02-23T16:53:45.159415+00:00
fb_987b975a13ed436b,ev_48d1cd58e8e547d3,u_00294,-1,wrong_answer,,2026-02-15T04:18:36.497486+00:00
fb_bbc4dabf10db4344,ev_6f8ae6fb10234257,u_00641,1,,,2026-03-19T07:21:38.269969+00:00
fb_95d3c99e070f4330,ev_2cbfe50005194a6d,u_00203,1,,,2026-03-04T22:57:30.080271+00:00
fb_bd9161816e404112,ev_307e63d941b94394,u_00421,1,,,2026-03-07T02:15:39.082160+00:00
fb_96707ac0fc3a49f1,ev_a63ae0b587d94a4c,u_00643,1,,,2026-04-01T02:55:04.934745+00:00
fb_cbce798993b34565,ev_664ae2789dc14e6e,u_00144,1,,good citations,2026-03-04T01:05:28.946846+00:00
fb_fbad148717ac4f62,ev_22f60a3a83ce432f,u_00139,1,,,2026-04-09T08:08:39.936690+00:00
fb_8561a7cfe2e74c6c,ev_dcdc091816e74958,u_00137,1,,,2026-04-16T00:16:22.809005+00:00
fb_0bae932118454095,ev_38071c61c7124f28,u_00142,1,,,2026-02-15T20:01:43.545535+00:00
fb_33d9b0d798c646b4,ev_fcf7cd72b3804d25,u_00148,-1,wrong_answer,,2026-02-17T23:59:39.948094+00:00
fb_d25135b0e0c34a7f,ev_218b5c39bfd241ed,u_00100,-1,hallucination,,2026-02-18T02:43:18.620736+00:00
fb_5424bb08f6f24ebc,ev_e1e67eebf4ca475c,u_00620,1,,,2026-02-10T16:16:00.982073+00:00
fb_6b71de8d5d48489b,ev_5ee2562ac9e34d95,u_00342,1,,,2026-03-25T10:50:58.742425+00:00
fb_0c7281950d6a4a0a,ev_f342144a8b1e4388,u_00343,1,,,2026-03-02T19:59:02.949128+00:00
fb_8843834cc5bf457b,ev_1eaf7d31eedc4ae0,u_00118,1,,,2026-02-16T03:00:10.027567+00:00
fb_87aff0143ab44fc6,ev_509b9af479124c8a,u_00658,-1,other,,2026-02-28T01:46:13.618280+00:00
fb_39eac9e40c684818,ev_ac50d2582ea54933,u_00293,1,,,2026-02-26T20:55:24.292906+00:00
fb_7311b468abfe4bc2,ev_c248df7c8a774fb0,u_00623,1,,,2026-02-28T02:21:08.605183+00:00
fb_2ebbfccf47ba4d2e,ev_efa174fe763f4d06,u_00267,1,,,2026-03-01T17:05:26.841377+00:00
fb_dffea97cc0ac4ac8,ev_b3f6e5f98dc84591,u_00334,1,,,2026-03-11T15:52:31.824442+00:00
fb_d40074af745c4087,ev_059ccecd72804bb5,u_00090,1,,,2026-03-01T10:41:14.471347+00:00
fb_22b4d5043b5347e1,ev_ce51995dddb44078,u_00097,1,,,2026-02-15T00:33:36.990760+00:00
fb_678a7ebc39964799,ev_df0b341431ef48dc,u_00564,-1,wrong_answer,,2026-02-13T22:43:53.675641+00:00
fb_686da16a500e4b39,ev_f525b88873794dea,u_00283,1,,,2026-03-16T15:31:05.898801+00:00
fb_c71f0bd56bfa42af,ev_f536058c741d4d39,u_00136,1,,,2026-03-25T14:26:58.656038+00:00
fb_7f19f4fbb878458b,ev_5496bf510d564739,u_00433,1,,,2026-03-13T07:55:32.788457+00:00
fb_924492d898cf4386,ev_fef762d51fdb43a5,u_00146,-1,,,2026-04-01T03:39:48.311890+00:00
fb_2a043dad98634156,ev_c1c1b094e25749b1,u_00635,1,,,2026-03-25T05:48:45.139538+00:00
fb_50d5465efa3f463b,ev_cfe0834b6e1d45cf,u_00644,1,,,2026-02-21T21:57:35.905518+00:00
fb_26884a9564fb48a7,ev_ad0ce16217494644,u_00599,1,,,2026-03-24T15:27:46.077129+00:00
fb_a19ff8e5be104776,ev_9373e00532e04fa2,u_00109,1,,,2026-04-01T03:48:29.705213+00:00
fb_734d75005b1c4a05,ev_1f59cecded9148e6,u_00143,1,,,2026-02-28T08:51:42.491878+00:00
fb_2bae93be39564e39,ev_2917ae78fa3f4d14,u_00169,-1,,,2026-03-19T01:04:02.747715+00:00
fb_82ee5dc6e4264e10,ev_7f8e323819bd4fa6,u_00271,1,,,2026-03-07T18:56:53.396200+00:00
fb_9de67c4770284054,ev_cdb51180485c4a79,u_00021,-1,incomplete,,2026-03-18T14:52:30.181110+00:00
fb_5d9c111ed7734c2e,ev_da7bdade2fd441ed,u_00037,1,,,2026-04-02T10:55:09.855692+00:00
fb_5f5c264d9b5a4a25,ev_f1af16f68f0c4859,u_00646,1,,,2026-02-22T23:19:50.316939+00:00
fb_71fd931a38f44986,ev_a78bc61d3a71468b,u_00472,-1,,,2026-03-08T16:14:19.625703+00:00
fb_506a233b80a8448e,ev_30501cfdcfa347a1,u_00262,1,,,2026-03-23T04:41:20.665580+00:00
fb_26c409d5e6684933,ev_accf1a2ad25d4b03,u_00331,1,,,2026-03-10T01:55:34.989840+00:00
fb_d7e230fa185348bd,ev_8e79fea7b03b43ec,u_00493,1,,,2026-03-08T01:39:25.222167+00:00
fb_4b49c60ea31b44f8,ev_08ea0084c81045fd,u_00591,1,,,2026-02-23T09:48:06.627870+00:00
fb_8eab9121b0ea4de5,ev_c697bc32ea784354,u_00142,1,,,2026-02-18T17:18:54.322252+00:00
fb_9350943981c84e7e,ev_23994b0433f54cbf,u_00329,-1,incomplete,,2026-04-01T09:01:23.820886+00:00
fb_82cdf13fbe7a4baf,ev_f4fd1b76ad5e4762,u_00293,1,,,2026-04-12T17:17:48.440022+00:00
fb_c882ee156c62468d,ev_95f5396e036b436a,u_00516,1,,,2026-03-23T12:35:25.731882+00:00
fb_b4675e12d7cd4c2f,ev_5c8081a31a3547be,u_00440,1,,,2026-03-03T02:54:15.862403+00:00
fb_9519f2d7ee674a69,ev_647e1ad3a8a744b5,u_00636,1,,,2026-03-02T14:12:40.550087+00:00
fb_51c6ab581d154b44,ev_5d0f15bb79fd4ff0,u_00618,-1,incomplete,,2026-02-24T08:01:10.451504+00:00
fb_be51933c9cac4d92,ev_75adf2bb88bf4ed8,u_00570,-1,incomplete,,2026-04-17T10:23:37.573675+00:00
fb_7022bb8b4ed54564,ev_fc5258df40204ed4,u_00392,1,,,2026-02-02T19:53:03.736744+00:00
fb_8eb05d5dbd4144f4,ev_0daaf8e87ee5456a,u_00565,1,,,2026-02-07T03:31:56.376276+00:00
fb_570250dda2684733,ev_8c2b519f2b454afa,u_00167,-1,incomplete,,2026-02-22T01:28:51.590230+00:00
fb_f13bfa3d1c584324,ev_d57e861b4bd34d3a,u_00024,-1,hallucination,,2026-02-14T17:00:36.028410+00:00
fb_c0b6a6de3ec747f7,ev_7b495e4b794a48cb,u_00633,1,,good citations,2026-02-22T08:19:22.467051+00:00
fb_63408b6f2ff84366,ev_30d99efcc560444c,u_00425,-1,incomplete,,2026-02-11T02:46:48.507460+00:00
fb_5c8a09a109a1434b,ev_c2e8f382cbd94797,u_00122,1,,,2026-02-24T17:25:42.389428+00:00
fb_76a10c2a10774809,ev_28702ee570394037,u_00037,-1,wrong_answer,,2026-03-16T16:34:57.751930+00:00
fb_66da1d5024464543,ev_50e994eae2514025,u_00266,-1,wrong_answer,,2026-02-23T21:09:06.776885+00:00
fb_09e5a9b43fe047be,ev_b5dd515de1d247e3,u_00286,1,,,2026-02-19T11:54:48.582844+00:00
fb_a8dd924b711c401f,ev_6fdb4c05ad3d4c5b,u_00633,1,,,2026-02-11T01:39:39.890834+00:00
fb_cb7f249c5c8f44df,ev_3e999e65480e4de0,u_00439,-1,wrong_answer,,2026-04-06T19:57:19.175452+00:00
fb_04a4001e867a4409,ev_38f49e84e4a049e1,u_00368,1,,,2026-02-24T01:41:36.339856+00:00
fb_208ea546f27d4110,ev_2e46116573f34f3f,u_00640,1,,,2026-03-14T16:56:48.582824+00:00
fb_498c7e1e763e48d3,ev_77b06ab46bf24f44,u_00382,-1,wrong_answer,,2026-03-10T17:14:32.742171+00:00
fb_ff87dc30b5774fa4,ev_1907d5ad497d40bf,u_00469,1,,,2026-02-19T03:22:27.659523+00:00
fb_3e54dd5b3d404dc2,ev_410667cc1de9441b,u_00019,1,,,2026-02-28T18:56:56.631013+00:00
fb_a67b724d5a474f5c,ev_bd7ad3b9788a404b,u_00373,1,,,2026-02-08T07:49:08.634290+00:00
fb_369d552848df4a96,ev_ea6127f1279e414e,u_00032,1,,,2026-03-05T21:12:12.716241+00:00
fb_5f1ac142070e41e8,ev_b109b2585b6e43e4,u_00624,1,,,2026-02-24T18:33:20.657699+00:00
fb_5f049d78414a4dc8,ev_adb02fea8d2a4ee7,u_00569,-1,slow,,2026-03-19T07:07:46.546397+00:00
fb_b956ef1dada34108,ev_91b41ccc11b14163,u_00634,1,,,2026-02-26T18:20:26.555088+00:00
fb_072c5ea9a4604b64,ev_df0db59fea924aa3,u_00641,1,,,2026-02-26T19:45:20.984876+00:00
fb_ff4485e3f4be4eee,ev_f1e8e2afbea24e10,u_00404,1,,,2026-03-06T00:00:22.531809+00:00
fb_b9d8ad42e5f24c59,ev_cefba99c26bc4234,u_00454,-1,wrong_answer,,2026-03-14T23:39:03.340248+00:00
fb_5e810578e3c146aa,ev_5e7cd6545e4f4e6a,u_00014,1,,,2026-02-21T18:15:31.159062+00:00
fb_e0f1a7263c19463d,ev_3ab52abc54894ef8,u_00246,1,,,2026-04-04T10:31:10.823270+00:00
fb_d07ccb9875fc4b6f,ev_98222c01239e416e,u_00090,1,,,2026-03-11T18:41:35.804029+00:00
fb_a8f2b4c9d85c45ce,ev_b59538ff49ed4fd7,u_00109,1,,,2026-02-27T22:00:28.827749+00:00
fb_b4b02a0344704fd0,ev_956bfc47a079470f,u_00643,-1,wrong_answer,,2026-02-26T18:40:55.444632+00:00
fb_b263602065054fa0,ev_3f256520668144a0,u_00382,1,,perfect!,2026-03-16T10:50:40.843746+00:00
fb_5193581f9a6747a8,ev_8c5a9352d6d5465e,u_00186,1,,,2026-02-20T08:02:34.199998+00:00
fb_6e8f0fdf844b40c3,ev_e12704734fa34940,u_00618,1,,good citations,2026-03-04T16:50:42.800831+00:00
fb_3fbf378c5e16467c,ev_692889f90fab4f48,u_00106,1,,,2026-03-22T12:13:29.803149+00:00
fb_a7c0cd7e01944d51,ev_7e4aead266e448a1,u_00431,1,,,2026-02-20T22:13:31.742581+00:00
fb_998c637c92f940c1,ev_db133169acd240f1,u_00478,1,,,2026-03-10T12:09:39.743709+00:00
fb_6471f3c8327a44d9,ev_fabb98ddbc044957,u_00405,-1,incomplete,,2026-03-28T22:13:45.829252+00:00
fb_39cadab89d354200,ev_98c49df2a4a44d1e,u_00651,-1,wrong_answer,,2026-02-24T17:05:25.161596+00:00
fb_9b682f35e18c46b8,ev_9c4abfcc9e504aa4,u_00096,-1,wrong_answer,incomplete response,2026-03-31T14:14:04.200533+00:00
fb_12b5055d70284043,ev_289a9021f65f4981,u_00034,1,,,2026-04-03T02:58:23.101255+00:00
fb_633ea26c922b46a3,ev_a94bdff286ce4ae5,u_00593,-1,hallucination,,2026-02-12T15:55:22.104097+00:00
fb_aa841761a47a4f46,ev_701afe46f1b5441d,u_00017,1,,,2026-02-04T15:42:51.907445+00:00
fb_2f22a1b257bf4af0,ev_0266a90d07954e11,u_00090,1,,,2026-02-10T15:58:46.969893+00:00
fb_1c654ced5fc24e52,ev_1f7be9dda09b478f,u_00165,1,,,2026-02-04T01:25:12.902123+00:00
fb_94e1ba55c41d4cc3,ev_4afbb9b9d0304584,u_00676,-1,incomplete,,2026-02-16T14:42:55.338290+00:00
fb_06ff6cd7a9a14487,ev_f8699333d4f040b2,u_00347,-1,,,2026-03-21T07:13:29.740178+00:00
fb_704f4668a8134495,ev_72895d7c0cdb439b,u_00423,1,,,2026-03-14T00:43:43.091803+00:00
fb_6ccc5755e72a4b90,ev_c3d4c9e169e54856,u_00095,1,,perfect!,2026-04-05T03:43:49.471129+00:00
fb_877a94a536274763,ev_d9f03ee8100b4d01,u_00331,-1,hallucination,,2026-04-04T18:44:50.182102+00:00
fb_87e3fc5248854568,ev_12f8cd504e0741cd,u_00189,1,,,2026-02-28T01:36:05.950074+00:00
fb_670a3b04905346df,ev_3b8a1c81933548a1,u_00245,-1,hallucination,,2026-04-18T21:26:11.221453+00:00
fb_2b37267b305c421b,ev_ed63f107f8604862,u_00116,-1,wrong_answer,,2026-03-28T18:21:52.082567+00:00
fb_2aa001a63ef6482b,ev_8349fcc535dc4c05,u_00202,1,,,2026-02-18T14:48:04.791776+00:00
fb_fe0c8456a05b465d,ev_cd7a0178a0894212,u_00117,1,,,2026-04-03T03:38:39.284913+00:00
fb_f1deb7cfdc3148d8,ev_daf5be9537954e83,u_00291,1,,,2026-02-19T03:02:10.131294+00:00
